CustomerID,SimilarCustomers
C0001,"[('C0103', 0.998), ('C0092', 0.997), ('C0135', 0.993)]"
C0002,"[('C0029', 1.0), ('C0077', 0.996), ('C0157', 0.995)]"
C0003,"[('C0111', 0.998), ('C0190', 0.997), ('C0038', 0.99)]"
C0004,"[('C0165', 0.998), ('C0162', 0.998), ('C0075', 0.997)]"
C0005,"[('C0167', 1.0), ('C0020', 1.0), ('C0128', 0.999)]"
C0006,"[('C0168', 0.998), ('C0196', 0.995), ('C0187', 0.995)]"
C0007,"[('C0125', 1.0), ('C0089', 0.998), ('C0085', 0.996)]"
C0008,"[('C0084', 0.996), ('C0113', 0.996), ('C0017', 0.993)]"
C0009,"[('C0130', 1.0), ('C0128', 0.999), ('C0192', 0.999)]"
C0010,"[('C0176', 0.999), ('C0055', 0.994), ('C0174', 0.993)]"
C0011,"[('C0023', 0.999), ('C0139', 0.987), ('C0100', 0.985)]"
C0012,"[('C0101', 1.0), ('C0093', 1.0), ('C0153', 0.999)]"
C0013,"[('C0021', 1.0), ('C0141', 0.998), ('C0059', 0.997)]"
C0014,"[('C0097', 0.999), ('C0043', 0.997), ('C0032', 0.996)]"
C0015,"[('C0058', 0.999), ('C0186', 0.994), ('C0131', 0.993)]"
C0016,"[('C0040', 1.0), ('C0107', 0.999), ('C0066', 0.998)]"
C0017,"[('C0113', 1.0), ('C0084', 0.995), ('C0008', 0.993)]"
C0018,"[('C0041', 0.994), ('C0068', 0.993), ('C0004', 0.99)]"
C0019,"[('C0166', 0.997), ('C0031', 0.994), ('C0088', 0.988)]"
C0020,"[('C0005', 1.0), ('C0128', 1.0), ('C0167', 1.0)]"
C0021,"[('C0013', 1.0), ('C0082', 0.998), ('C0200', 0.998)]"
C0022,"[('C0149', 0.994), ('C0054', 0.986), ('C0163', 0.986)]"
C0023,"[('C0011', 0.999), ('C0100', 0.99), ('C0168', 0.986)]"
C0024,"[('C0139', 0.921), ('C0011', 0.914), ('C0023', 0.899)]"
C0025,"[('C0144', 0.998), ('C0071', 0.997), ('C0172', 0.997)]"
C0026,"[('C0016', 0.996), ('C0040', 0.996), ('C0107', 0.993)]"
C0027,"[('C0094', 0.989), ('C0157', 0.988), ('C0029', 0.985)]"
C0028,"[('C0156', 0.999), ('C0173', 0.998), ('C0145', 0.998)]"
C0029,"[('C0002', 1.0), ('C0077', 0.995), ('C0157', 0.994)]"
C0030,"[('C0106', 0.997), ('C0010', 0.988), ('C0176', 0.984)]"
C0031,"[('C0166', 0.998), ('C0088', 0.997), ('C0197', 0.995)]"
C0032,"[('C0062', 1.0), ('C0043', 0.999), ('C0197', 0.998)]"
C0033,"[('C0060', 0.999), ('C0151', 0.996), ('C0025', 0.993)]"
C0034,"[('C0091', 0.997), ('C0161', 0.975), ('C0049', 0.973)]"
C0035,"[('C0112', 1.0), ('C0071', 0.998), ('C0097', 0.998)]"
C0036,"[('C0119', 1.0), ('C0083', 1.0), ('C0052', 0.999)]"
